line_number,name,left_context,right_context,full_context
4517,Queene,the , at the,the Queene at the
4520,England,, may reioyce,England may reioyce
4536,Ireland,,e.</note,Irelande.</note
4538,Ireland,partes of ,"e, and","partes of Irelande, and"
4551,Queene,King and , of Scottes,King and Queene of Scottes
4555,England,Maiestie of , was the,Maiestie of England was the
4555,Queene,and the ,s Maiestie,and the Queenes Maiestie
4598,Queene,agaynst the ,s Maiestie,agaynst the Queenes Maiestie
4599,Ireland,,"e, and","Irelande, and"
4605,Ireland,deputie of ,"e, he","deputie of Irelande, he"
4627,Queene,by the ,s Maiestie,by the Queenes Maiestie
4660,England,out of ,e by maister,out of Englande by maister
4660,Queene,vppon the ,s Maiesties,vppon the Queenes Maiesties
4679,England,into , vnto,into England vnto
4679,Queene,vnto the ,s Maiestie,vnto the Queenes Maiestie
4686,Queene,Ianuarie the ,s Maiestie,Ianuarie the Queenes Maiestie
4749,Queene,before the ,s maiestie,before the Queenes maiestie
4785,Queene,receyued the ,s Maiesties,receyued the Queenes Maiesties
4796,Queene,of the ,s,of the Queenes
4835,Queene,time the ,s Maiestie,time the Queenes Maiestie
4841,Queene,Sussex the ,s Lieutenant,Sussex the Queenes Lieutenant
4858,England,Admyrall of ,e,Admyrall of Englande
4859,Queene,by the ,s Maiesties,by the Queenes Maiesties
4916,Queene,attemptes the ,s,attemptes the Queenes
4948,Queene,to the ,s maiesties,to the Queenes maiesties
4960,Queene,of the ,s maiesties,of the Queenes maiesties
5001,England,into ,"e, and","into Englande, and"
5037,England,,"e, they","Englande, they"
5055,England,, the,England the
5073,England,into ,"e, Hauing","into Englande, Hauing"
5077,England,,e were,Englande were
5208,England,Queene of ,s name,Queene of Englands name
5208,Queene,in the , of Englands,in the Queene of Englands
5229,Queene,the ,s Maiesties,the Queenes Maiesties
5231,England,towardes ,e and,towardes Englande and
5243,Queene,in the ,s Maiesties,in the Queenes Maiesties
5256,England,remayning in ,"e, earnesy","remayning in Englande, earnesy"
5256,Queene,by the ,s Maiesties,by the Queenes Maiesties
5258,England,Queene of ,es ayde,Queene of Englandes ayde
5258,Queene,wythoute the , of Englandes,wythoute the Queene of Englandes
5309,England,into , by the,into England by the
5357,England,Queene of ,es Generall,Queene of Englandes Generall
5357,Queene,, of Englandes,Queene of Englandes
5391,England,Queene of ,e and,Queene of Englande and
5391,Queene,, of Englande,Queene of Englande
5629,England,Queene of ,"e, was","Queene of Englande, was"
5629,Queene,of the , of Englande,of the Queene of Englande
5644,England,realme of ,",<note","realme of England,<note"
5646,England,, and Scotlande,England and Scotlande
5686,Queene,of the ,s highnesse,of the Queenes highnesse
5705,England,Queene of ,es,Queene of Englandes
5705,Queene,at the , of Englandes,at the Queene of Englandes
5766,Queene,against the ,s Maiestie,against the Queenes Maiestie
5786,Queene,/hi> ,s attourney,/hi> Queenes attourney
5811,Queene,for the ,s Maiestie,for the Queenes Maiestie
5813,Queene,with the ,s army,with the Queenes army
5815,England,parteth ,e and,parteth Englande and
5845,England,account_of_tempest_in_,""">","account_of_tempest_in_England"">"
6057,Queene,the ,s Maiestie,the Queenes Maiestie
6060,Queene,all the ,s,all the Queenes
6080,Queene,of the ,s nauy,of the Queenes nauy
6114,Essex,"div n=""",""" type=","div n=""Essex"" type="
6116,Essex,head>,,head>Essex
6148,Queene,the  ,s Maiestie,the  Queenes Maiestie
6178,Queene,fro the ,s Maiestie,fro the Queenes Maiestie
6199,Queene,,s Almayn,Queenes Almayn
6228,England,heere in ,e a little,heere in Englande a little
6231,Queene,to the ,s Maiestie,to the Queenes Maiestie
6236,Queene,before the ,s Maiestie,before the Queenes Maiestie
6266,Queene,,s Maiesty,Queenes Maiesty
6284,Queene,/hi> ,s guarde,/hi> Queenes guarde
6447,Queene,by the ,s Maiestie,by the Queenes Maiestie
6450,Queene,Kynges and ,s of thys,Kynges and Queenes of thys
6459,England,Stewarde of ,e for,Stewarde of Englande for
6466,Queene,of the ,s Maiesties,of the Queenes Maiesties
6470,Queene,of the ,s Maiesties,of the Queenes Maiesties
6471,England,Treasorer of ,"e, at","Treasorer of Englande, at"
6475,Queene,&amp; ,s dayes,&amp; Queenes dayes
6477,Queene,Kings and ,"s, Henrye","Kings and Queenes, Henrye"
6478,Elizabeth,Queene ,. All,Queene Elizabeth. All
6478,Queene,"sixt, ", Mary,"sixt, Queene Mary"
6478,Queene,and , Elizabeth,and Queene Elizabeth
6483,Queene,the  ,s Maiestie,the  Queenes Maiestie
6499,Queene,before the ,s Maiestie,before the Queenes Maiestie
6503,Essex,Earles of , and Lincolne,Earles of Essex and Lincolne
6504,England,Admirall of ,"e, was","Admirall of Englande, was"
6504,Essex,Earle of ,. And,Earle of Essex. And
6507,Queene,by the ,s Maiesties,by the Queenes Maiesties
6513,England,Realme of ,e was,Realme of Englande was
6574,England,,e came,Englande came
6582,England,,e withdrawing,Englande withdrawing
6590,England,Queene of ,", Sir","Queene of England, Sir"
6590,Queene,, of England,Queene of England
6594,England,Nobles of , to the,Nobles of England to the
6595,England,Nobles of ,e. On,Nobles of Englande. On
6599,England,Nobles of ,e tooke,Nobles of Englande tooke
6600,England,into ,,into England
6613,Queene,of the ,s Maiestie,of the Queenes Maiestie
6616,Queene,betwixt the ,s Maiestie,betwixt the Queenes Maiestie
6630,Queene,the ,s Maiestie,the Queenes Maiestie
