paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
245,Queene,56,62,with the,Dowager,with the Queene Dowager
248,maister,26,33,yong,Browne,yong maister Browne
251,Iames,506,511,"sharpely,",Hamilton,"sharpely, Iames Hamilton"
251,Iames,604,609,retyre,Hamilton,retyre Iames Hamilton
253,Henrie,120,126,vnder sir,Percie,vnder sir Henrie Percie
253,Lard,143,147,and the,of Grange,and the Lard of Grange
253,sir,116,119,vnder,Henrie,vnder sir Henrie
259,maister,684,691,planted and,Markham,planted and maister Markham
260,Bishop,137,143,The,of Valence,The Bishop of Valence
260,duke,301,305,to the,of Norffolk,to the duke of Norffolk
260,George,213,219,night sir,Howarde,night sir George Howarde
260,Richard,379,386,with sir,"Lee,","with sir Richard Lee,"
260,sir,209,212,night,George,night sir George
260,sir,375,378,with,Richard,with sir Richard
265,Brian,66,71,Iohn,,Iohn Brian
265,Iohn,61,65,same day,Brian,same day Iohn Brian
278,Earle,13,18,day the,of Arguyle,day the Earle of Arguyle
278,Earle,96,101,e,of Arguyle,e Earle of Arguyle
282,George,144,150,Sir,Howard,Sir George Howard
282,Henrie,281,287,and sir,Percie,and sir Henrie Percie
282,Howard,151,157,George,,George Howard
282,Sir,140,143,fields.,George,fields. Sir George
282,sir,277,280,and,Henrie,and sir Henrie
284,Maister,519,526,"Hesketh,",Sutton,"Hesketh, Maister Sutton"
284,Maister,535,542,"Sutton,",Newporte,"Sutton, Maister Newporte"
284,maister,553,560,"Newporte,",,"Newporte, maister"
284,Thomas,503,509,,Hesketh,Thomas Hesketh
284,Thomas,602,608,"Wood,",Fitton,"Wood, Thomas Fitton"
286,George,51,57,sir,Howarde,sir George Howarde
286,Richarde,93,101,,Lee departed,Richarde Lee departed
286,sir,47,50,"Noone,",George,"Noone, sir George"
286,sir,71,74,and,,and sir
289,Maister,44,51,"May,",Inglebie,"May, Maister Inglebie"
292,Frauncis,121,129,sir,Leake,sir Frauncis Leake
292,Sir,19,22,,Fraunces,Sir Fraunces
292,sir,117,120,"May,",Frauncis,"May, sir Frauncis"
295,Frauncis,24,32,maister,Somerset,maister Frauncis Somerset
295,maister,16,23,"night,",Frauncis,"night, maister Frauncis"
297,Sir,19,22,,Peter,Sir Peter
297,sir,64,67,"May,",Peter,"May, sir Peter"
300,Iohn,33,37,sir,Neuill,sir Iohn Neuill
300,Queene,268,274,"Iune,The",Dowager,"Iune,The Queene Dowager"
300,Queene,321,327,day the,Dowager,day the Queene Dowager
300,sir,29,32,"Iune,",Iohn,"Iune, sir Iohn"
301,bishop,386,392,and the,of Valence,and the bishop of Valence
301,Doctor,174,180,and,Wotton,and Doctor Wotton
301,Marie,493,498,wife,Queene,wife Marie Queene
301,Queene,499,505,Marie,of Scotland,Marie Queene of Scotland
301,sir,20,23,"Iune,",William,"Iune, sir William"
301,William,24,31,sir,Cicill,sir William Cicill
303,doctor,142,148,,Wotton,doctor Wotton
303,Doctor,224,230,Secretarie and,Wotton,Secretarie and Doctor Wotton
303,maister,201,208,,Secretarie,maister Secretarie
303,Sir,98,101,"Edenbourgh,",William,"Edenbourgh, Sir William"
303,William,102,109,"Edenbourgh,Sir",Cicil,"Edenbourgh,Sir William Cicil"
308,Scattergood,19,30,,Gunner,Scattergood Gunner
308,Scattergood,107,118,one,an Englishman,one Scattergood an Englishman
309,Gerueys,377,384,sent sir,Clifton,sent sir Gerueys Clifton
309,Gray,36,40,Lord,L. Lieutenant,Lord Gray L. Lieutenant
309,Iohn,590,594,and sir,Neuill,and sir Iohn Neuill
309,maister,56,63,"Lieutenant,",Secretarie,"Lieutenant, maister Secretarie"
309,Raufe,110,115,sir,Sadler,sir Raufe Sadler
309,sir,105,108,and,Raufe,and sir Raufe
309,sir,373,376,sent,Gerueys,sent sir Gerueys
309,sir,586,589,and,Iohn,and sir Iohn
310,Bishop,359,365,the,of Amiens,the Bishop of Amiens
310,Francis,174,181,sir,Leake,sir Francis Leake
310,Gerueys,195,202,sir,Clifton,sir Gerueys Clifton
310,sir,170,173,"Iune,",Francis,"Iune, sir Francis"
310,sir,191,194,"Leake, &",Gerueys,"Leake, & sir Gerueys"
311,Elizabeth,110,119,"princesse,",by the,"princesse, Elizabeth by the"
311,Francis,279,286,"king,",", and","king, Francis , and"
311,Marie,292,297,and,", by the","and Marie , by the"
311,Queene,162,168,,of England,Queene of England
311,Queene,354,360,,of Fraunce,Queene of Fraunce
312,Francis,49,56,"ended,Sir",Leake,"ended,Sir Francis Leake"
312,Francis,116,123,sir,Leake,sir Francis Leake
312,Gerueys,72,79,and sir,Clifton,and sir Gerueys Clifton
312,Gerueys,139,146,and sir,Clifton,and sir Gerueys Clifton
312,Sir,45,48,"ended,",Francis,"ended, Sir Francis"
312,sir,68,71,and,Gerueys,and sir Gerueys
312,sir,112,115,Doysel.,Francis,Doysel. sir Francis
312,sir,135,138,and,Gerueys,and sir Gerueys
313,Earle,955,960,honourable the,of Warwike,honourable the Earle of Warwike
313,Iohn,748,752,Abridgemets of,Stow,Abridgemets of Iohn Stow
313,Richard,762,769,Stow and,Grafton,Stow and Richard Grafton
